,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,0.5660000000000001,0.664,4,-5.303,0.0464,0.634,0.0,0.11599999999999999,0.43700000000000006,128.945,0
1,0.768,0.82,7,-4.63,0.0474,0.179,0.0,0.6890000000000001,0.625,129.965,1
2,0.5579999999999999,0.5589999999999999,6,-9.222000000000001,0.0959,0.371,7.49e-06,0.109,0.62,78.558,0
3,0.679,0.715,9,-6.382999999999999,0.0407,0.0755,0.0,0.271,0.5710000000000001,127.435,1
4,0.778,0.8240000000000001,10,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,2
5,0.42100000000000004,0.873,10,-4.343,0.0564,0.0654,0.0,0.12300000000000001,0.629,84.786,1
6,0.49700000000000005,0.865,0,-3.19,0.0644,0.0306,0.0679,0.44299999999999995,0.595,125.96,1
7,0.616,0.789,7,-4.874,0.0377,0.053,0.0,0.142,0.621,83.066,2
8,0.7509999999999999,0.7829999999999999,4,-3.7239999999999998,0.0859,0.00379,0.0,0.036000000000000004,0.816,119.975,2
9,0.7090000000000001,0.8540000000000001,0,-4.447,0.0399,0.047,0.0,0.0724,0.826,105.074,2
10,0.706,0.89,0,-6.575,0.0847,0.0855,0.0,0.0465,0.8959999999999999,130.05100000000002,2
11,0.47200000000000003,0.815,9,-4.002,0.319,0.171,0.0,0.265,0.81,98.01700000000001,2
12,0.754,0.9329999999999999,0,-5.7860000000000005,0.0448,0.0199,0.0,0.297,0.75,103.992,2
13,0.56,0.9590000000000001,7,-2.4330000000000003,0.102,0.0007379999999999999,0.000206,0.209,0.67,163.983,1
14,0.46299999999999997,0.8540000000000001,8,-5.386,0.32,0.0428,0.0,0.0922,0.5670000000000001,65.038,2
15,0.693,0.8220000000000001,4,-5.441,0.0439,0.0061600000000000005,1.79e-06,0.315,0.763,126.035,2
16,0.687,0.855,7,-5.341,0.0416,0.0486,0.0,0.233,0.647,130.029,2
17,0.58,0.75,4,-4.421,0.19399999999999998,0.159,0.0,0.27399999999999997,0.728,86.93799999999999,2
18,0.695,0.628,11,-6.497999999999999,0.0442,0.0539,0.0,0.32,0.529,144.114,1
